OBJECTID,Join_Count,TARGET_FID,Fatalities,PedFatalities,BikeFatalities,MVOFatalities,YR,nodeX,nodeY,STREET1,STREET2
87,1,87,1,1,0,0,2016,1033927.183,218034.3799,NORTHERN BOULEVARD              ,146 STREET                      
88,1,88,1,1,0,0,2016,984016.2242,162469.0235,79 STREET                       ,NEW UTRECHT AVENUE              
89,4,89,1,1,0,0,2016,1021810.447,206724.2848,LONG ISLAND EXPRESSWAY          ,JUNCTION BOULEVARD              
90,1,90,1,0,1,0,2016,994774.247,157221.2981,EAST 9 STREET                   ,AVENUE U                        
91,3,91,1,0,0,1,2016,993930.7283,154632.7075,OCEAN PARKWAY                   ,AVENUE X                        
92,1,92,1,1,0,0,2016,999378.3191,230483.4623,EAST 115 STREET                 ,MADISON AVENUE                  
93,1,93,1,0,0,1,2016,1036739.04,186902.4517,130 STREET                      ,115 AVENUE                      
94,1,94,1,1,0,0,2016,1052204.137,159910.9775,BEACH CHANNEL DRIVE             ,MOTT AVENUE                     
95,1,95,1,0,1,0,2016,1024286.015,250375.8202,TOMLINSON AVENUE                ,NEILL AVENUE                    
96,1,96,1,1,0,0,2016,1026950.481,225016.4949,COLLEGE POINT BOULEVARD         ,15 AVENUE                       
97,1,97,1,0,1,0,2016,1003983.923,193287.9343,HART STREET                     ,EVERGREEN AVENUE                
98,1,98,2,2,0,0,2016,1018818.847,188044.6181,FULTON STREET                   ,CHESTNUT STREET                 
99,2,99,1,1,0,0,2016,1005283.281,243518.5045,SHAKESPEARE AVENUE              ,JEROME AVENUE                   
100,1,100,1,1,0,0,2016,1008685.039,221130.7386,33 STREET                       ,23 AVENUE                       
101,1,101,1,1,0,0,2016,1009410.051,253587.8479,WEST FORDHAM ROAD               ,SEDGWICK AVENUE                 
102,1,102,1,1,0,0,2016,1021896.803,248869.665,BARNES AVENUE                   ,BRONXDALE AVENUE                
103,2,103,1,0,0,1,2016,1019237.888,197100.8135,COOPER AVENUE                   ,78 STREET                       
104,5,104,1,1,0,0,2016,1020926.323,259051.4455,EAST GUN HILL ROAD              ,WHITE PLAINS ROAD               
105,3,105,1,1,0,0,2016,1000537.759,245018.3243,BROADWAY                        ,WEST 165 STREET                 
106,1,106,1,0,1,0,2016,1015689.585,178369.933,VERMONT STREET                  ,WORTMAN AVENUE                  
107,1,107,1,1,0,0,2016,985968.5891,158583.2541,BAY PARKWAY                     ,86 STREET                       
108,3,108,1,0,0,1,2016,1018419.708,214225.6871,91 STREET                       ,34 AVENUE                       
109,4,109,1,1,0,0,2016,987744.4615,200974.1161,DELANCEY STREET                 ,NORFOLK STREET                  
110,1,110,1,1,0,0,2016,1038234.881,187461.4106,VAN WYCK EXPRESSWAY SR WEST     ,115 AVENUE                      
111,1,111,1,0,0,1,2016,1013124.512,181378.3456,LIVONIA AVENUE                  ,GEORGIA AVENUE                  
112,1,112,1,1,0,0,2016,993641.1229,166857.1414,AVENUE J                        ,EAST 10 STREET                  
113,1,113,1,1,0,0,2016,963251.706,167595.9359,BAY STREET                      ,CANAL STREET                    
114,3,114,1,1,0,0,2016,959567.1501,154306.5796,ATLANTIC AVENUE                 ,HYLAN BOULEVARD                 
115,1,115,1,0,0,1,2016,1022979.219,260887.2457,BARNES AVENUE                   ,EAST 219 STREET                 
116,1,116,1,1,0,0,2016,984088.1466,215324.6511,11 AVENUE                       ,WEST 37 STREET                  
117,1,117,1,0,0,1,2016,1017650.119,257602.9839,EAST 204 STREET                 ,EAST 205 STREET                 
118,2,118,1,1,0,0,2016,1012441.626,186181.9512,SHEFFIELD AVENUE                ,JAMAICA AVENUE                  
119,1,119,1,1,0,0,2016,999285.4748,222676.8641,EAST 89 STREET                  ,YORK AVENUE                     
120,7,120,1,1,0,0,2016,984643.2636,217724.5413,WEST 46 STREET                  ,12 AVENUE                       
121,1,121,1,1,0,0,2016,996806.6707,225842.3791,EAST 95 STREET                  ,MADISON AVENUE                  
122,1,122,1,0,1,0,2016,1016090.09,210347.2893,WOODSIDE AVENUE                 ,BROADWAY                        
123,1,123,1,1,0,0,2016,1024136.068,243850.0954,STARLING AVENUE                 ,UNIONPORT ROAD                  
124,1,124,1,1,0,0,2016,994001.283,216160.6632,2 AVENUE                        ,EAST 58 STREET                  
125,1,125,1,1,0,0,2016,997424.9011,192488.6377,NOSTRAND AVENUE                 ,MYRTLE AVENUE                   
126,1,126,1,1,0,0,2016,959230.7465,161311.3457,NARROWS ROAD NORTH              ,RICHMOND ROAD                   
127,1,127,1,1,0,0,2016,986092.0632,172900.3117,43 STREET                       ,FT HAMILTON PARKWAY             
128,1,128,2,2,0,0,2016,995022.2882,219470.0654,EAST 71 STREET                  ,3 AVENUE                        
129,1,129,1,1,0,0,2016,995634.5602,221618.3655,LEXINGTON AVENUE                ,EAST 79 STREET                  
130,1,130,1,1,0,0,2016,1014555.709,248585.4169,HUGHES AVENUE                   ,EAST 180 STREET                 
131,3,131,1,1,0,0,2016,999628.6238,243378.8955,BROADWAY                        ,WEST 158 STREET                 
132,4,132,1,0,0,1,2016,1055964.828,172110.9728,BROOKVILLE BOULEVARD            ,ROCKAWAY BOULEVARD              
133,1,133,1,0,0,1,2016,1021999.402,254634.9485,ALLERTON AVENUE                 ,BARNES AVENUE                   
134,3,134,1,1,0,0,2016,989203.4153,219715.1607,BROADWAY                        ,WEST 61 STREET                  
135,1,135,1,1,0,0,2016,1037001.35,187000.6438,131 STREET                      ,115 AVENUE                      
136,2,136,1,1,0,0,2016,990139.8045,201568.5047,COLUMBIA STREET                 ,EAST HOUSTON STREET             
137,1,137,1,1,0,0,2016,1018109.741,240290.2107,WATSON AVENUE                   ,BOYNTON AVENUE                  
138,3,138,1,1,0,0,2016,989425.8263,223826.0117,BROADWAY                        ,WEST 75 STREET                  
139,1,139,1,1,0,0,2016,1042851.623,155178.3921,ROCKAWAY FREEWAY                ,BEACH 59 STREET                 
140,1,140,1,0,1,0,2016,1000887.817,180838.4218,ALBANY AVENUE                   ,LEFFERTS AVENUE                 
141,1,141,3,0,0,3,2016,934757.5238,157860.287,TRAVIS AVENUE                   ,VICTORY BOULEVARD               
142,1,142,1,0,1,0,2016,946178.2959,148032.2289,ANDREWS AVENUE                  ,RICHMOND ROAD                   
143,1,143,1,1,0,0,2016,1007046.784,245787.2043,MACOMBS ROAD                    ,PLAZA DRIVE                     
144,1,144,1,1,0,0,2016,1015377.269,238959.5015,LONGFELLOW AVENUE               ,BRUCKNER BOULEVARD              
145,1,145,1,0,0,1,2016,990305.8179,217267.7148,WEST 55 STREET                  ,AVENUE OF THE AMERICAS          
146,1,146,1,1,0,0,2016,987580.2069,209196.7313,EAST 23 STREET                  ,MADISON AVENUE                  
147,1,147,1,1,0,0,2016,981674.2013,173413.5486,6 AVENUE                        ,52 STREET                       
148,1,148,1,0,0,1,2016,1034290.568,186708.3642,LINDEN BOULEVARD                ,120 STREET                      
149,1,149,1,1,0,0,2016,987127.012,211529.7702,WEST 30 STREET                  ,AVENUE OF THE AMERICAS          
150,1,150,1,1,0,0,2016,987979.7104,157335.1102,25 AVENUE                       ,85 STREET                       
151,1,151,1,1,0,0,2016,1017371.665,238522.0876,STORY AVENUE                    ,COLGATE AVENUE                  
152,5,152,1,1,0,0,2016,1007120.285,177671.4403,LINDEN BOULEVARD                ,CHURCH AVENUE                   
153,1,153,1,1,0,0,2016,999041.4793,223708.4959,1 AVENUE                        ,EAST 92 STREET                  
154,1,154,1,1,0,0,2016,1031686.836,187184.0325,111 STREET                      ,109 AVENUE                      
155,5,155,1,1,0,0,2016,1007749.706,177638.5237,EAST 95 STREET                  ,LINDEN BOULEVARD                
156,5,156,1,1,0,0,2016,1056199.631,195662.8571,MURDOCK AVENUE                  ,SPRINGFIELD BOULEVARD           
